sigel,archivname
"Kron5ba0","Stadtarchiv Kronach"
"Kulm5ba0","Stadtarchiv Kulmbach"
"Ladb8e10","Pfarrarchiv Ladbergen"
"Lahu5ba0","Stadtarchiv Landshut"
"Lana8k10","Archiv der katholischen Kirchengemeinde Landau"
"Land3ba0","Staatsarchiv Landshut"
"Land5rp0","Stadtarchiv Landau i.d. Pfalz"
"Land8k10","Archiv der katholischen Kirchengemeinde Landstuhl, St. Andreas"
"Land8k20","Archiv der katholischen Kirchengemeinde Landstuhl, St. Markus"
"Lang8e10","Pfarrarchiv Langenbach"
"Lauf5bw0","Stadtarchiv Lauffen"
"Leip3sn0","Sächsisches Staatsarchiv Leipzig"
"Leip5sn0","Stadtarchiv Leipzig"
"Leipzig","Musikverlag Wilhelm Zimmermann, Leipzig"
"Leis8e10","Archiv der Ev.-Luth. Kirchgemeinde Leisnig, Stadtkirche zu St. Matthäi"
"Lemg5nw0","Archivamt Lemgo"
"Leon5bw0","Stadtarchiv Leonberg"
"Leub8e10","Pfarrarchiv Leubingen im Kirchspiel Weißensee"
"Lich5ba0","Stadtarchiv Lichtenfels"
"Lich8e10","Pfarrarchiv Lich, Marienstift"
"Lieb8e10","Pfarrarchiv Liebenrode"
"Limb7k10","Diözesanarchiv Limburg"
"Lind5ba0","Stadtarchiv Lindau"
"Linz5rp0","Stadtarchiv Linz am Rhein"
"Lipp5nw0","Stadtarchiv Stadt Lippstadt"
"Loeb5sn0","Stadtarchiv Löbau"
"Loeb8e10","Pfarrarchiv Löbnitz"
"Loer5bw0","Stadtarchiv Lörrach"
"Lohm8e10","Archiv der Ev.-Luth. Kirchgemeinde Lohmen"
"Ludw3bw0","Staatsarchiv Ludwigsburg"
"Ludw5bw0","Stadtarchiv Ludwigsburg"
"Ludw5rp0","StadtA Ludwigshafen"
"Ludw8k10","Archiv der katholischen Kirchengemeinde Ludwigshafen, St. Ludwig"
"Ludw8k20","Archiv der katholischen Kirchengemeinde Ludwigshafen, St. Sebastian"
"Lueb5bb0","Stadtarchiv Lübben"
"Lueb5sh0","Archiv der Hansestadt Lübeck"
"Lueb8e10","Kirchenkreisarchiv Lübeck "
"Lued5nw0","Stadtarchiv und Amtsarchiv Lüdenscheid"
"Luen5ns0","Stadtarchiv Lüneburg"
"Luen8e10","Pfarrarchiv Lünern"
"Magd2sa0","Landesarchiv Magdeburg-Landeshauptarchiv-"
"Magd5sa0","Stadtarchiv Magdeburg"
"Magd7e10","Archiv der Evangelischen Kirche der Kirchenprovinz Sachsen"
"Magd8e10","Pfarrarchiv Magdeburg, Diesdorf (St. Eustachius und Agathe)"
"Magd8e20","Pfarrarchiv Magdeburg-Südwest, St. Stephani"
"Main5rp0","Stadtarchiv Mainz"
"Main6k10","Dom- und Diözesanarchiv Mainz"
"Mann5bw0","Stadtarchiv Mannheim"
"Marb3he0","Hessisches Staatsarchiv Marburg"
"Mark5ba0","Stadtarchiv Marktredwitz"
"Mark5bw0","Stadtarchiv Markdorf"
"Mede8e10","Pfarrarchiv Medebach"
"Meer5bw0","Stadtarchiv Meersburg"
"Mein3th0","Thüringisches Staatsarchiv Meiningen"
"Mein5th0","Stadtarchiv Meiningen"
"Meis5rp0","Stadtarchiv Meisenheim"
"Memm5ba0","Stadtarchiv Memmingen"
"Mers3sa0","Landesarchiv Merseburg"
"Mers5sa0","Historisches Stadtarchiv o[Merseburg]o"
"Mers8e10","Pfarrarchiv Merseburg, Schloß- und Domkirche (Dom I)"
"Mers8e20","Pfarrarchiv Merseburg, St. Maximi"
"Mers8e30","Pfarrarchiv Merseburg, St. Thomae und Lössen (Dom I)"
"Mers8e40","Pfarrarchiv Merseburg, St. Viti und Meuschau"
"Meus5th0","Stadtarchiv Meuselwitz"
"Milt8k10","Pfarrarchiv Miltenberg St. Jakobus"
"Mind5nw0","Kommunalarchiv Minden - Archiv der Stadt Minden und des Kreises Lübbecke"
"Moen5nw0","Stadtarchiv Mönchengladbach"
"Mont5rp0","Stadtarchiv Montabaur"
"Mueb5ba0","Stadtarchiv Münchberg"
"Muec8e10","Pfarrarchiv Mücheln, St. Ulrich"
"Mueh5bw0","Stadtarchiv Mühlacker"
"Mueh5th0","Stadtarchiv Mühlhausen"
"Mueh8e10","Pfarrarchiv Mühlhausen, St. Martini"
"Muek2ba0","Bayerisches Hauptstaatsarchiv München"
"Muel5nw0","Stadtarchiv Mülheim an der Ruhr"
"Muen2ba0","Bayerisches Hauptstaatsarchiv München"
"Muen3ba0","Staatsarchiv München"
"Muen3nw0","Nordrhein-Westfälisches Staatsarchiv Münster"
"Muen5ba0","Stadtarchiv München"
"Muen5bw0","Stadtarchiv Münsingen"
"Muen5nw0","Stadtarchiv Münster"
"Muen7k10","Archiv des Erzbistums München und Freising"
"Mues2ba0","Bayerisches Hauptstaatsarchiv München"
"Mues7k10","Bistumsarchiv "
"Mues8e10","Pfarrarchiv Münster"
"Nago5bw0","Stadtarchiv Nagold"
"Naum5sa0","Stadtarchiv Naumburg"
"Neck5bw0","Stadtarchiv Neckarsulm"
"Neua5ba0","Stadtarchiv Neustadt an der Aisch"
"Neub5ba0","Stadtarchiv Neuburg"
"Neud5ba0","Stadtarchiv Neustadt a.d. Donau"
"Neues","Stadtarchiv Aichtal im Kreisarchiv Esslingen"
"Neum5sh0","Stadtarchiv Neumünster"
"Neun5sl0","Stadtarchiv Neunkirchen"
"Neus5mv0","Stadtarchiv Neustrelitz"
"Neus5rp0","Stadtarchiv Neustadt an der Weinstraße"
"Neuw8k10","Archiv der katholischen Kirchengemeinde Neustadt an der Weinstraße, St. Marien"
"Noer5ba0","Stadtarchiv Nördlingen"
"Nord5th0","Stadtarchiv Nordhausen"
"Noss8e10","Archiv der Ev.-Luth. Kirchgemeinde Nossen"
"Nuer3ba0","Staatsarchiv Nürnberg"
"Nuer5ba0","Stadtarchiv Nürnberg"
"Nuer5bw0","Stadtarchiv Nürtingen"
"Nuer7e10","Landeskirchliches Archiv Nürnberg"
"Obeg8e10","Pfarrarchiv Obergebra"
"Ober8e10","Pfarrarchiv Oberholzklau"
"Obse8e10","Pfarrarchiv Ober-Seemen"
"Obur5bw0","Stadtarchiv Obernburg"
"Oels4sn0","Kreisarchiv Oelsnitz (Vogtl.)"
"Offe5bw0","Stadtarchiv Offenburg"
"Olde3ns0","Niedersächsisches Staatsarchiv Oldenburg"
"Olde7e10","Archiv des Evangelisch-Lutherischen Oberkirchenrats Oldenburg"
"Oppe8e10","Pfarrarchiv Oppershausen"
"Oran3sa0","Landesarchiv Oranienbaum"
"Orte4bw0","Kreisarchiv Ortenaukreis"
"Osna3ns0","Niedersächsisches Staatsarchiv Osnabrück"
"Osna7k10","Bistumsarchiv Osnabrück"
"Oste8e10","Pfarrarchiv Osterfeld"
"Pade5nw0","Stadt Paderborn - Stadtarchiv"
"Pade6k10","Erzbistumsarchiv Paderborn"
"Parc5mv0","Stadtarchiv Parchim"
"Pass5ba0","Stadtarchiv Passau"
"Pass7k10","Archiv des Bistums Passau"
"Paus8e10","Archiv der Ev.-Luth. Kirchgemeinde Riesa-Pausitz, St. Martinskirche"
"Pelk8e10","Pfarrarchiv Pelkum"
"Perl5bb0","Stadtarchiv Perleberg"
"Pete8e10","Pfarrarchiv Petersroda im Kirchspiel Roitzsch-Petersroda"
"Pirm8k10","Archiv der katholischen Kirchengemeinde Pirmasens, St. Pirmin"
"Pirn5sn0","Stadtarchiv Pirna"
"Plau5sn0","Stadtarchiv Plauen"
"Ploc5bw0","Stadtarchiv Plochingen im Kreisarchiv Esslingen"
"Pobo2bb0","Landeshauptarchiv Brandenburg"
"Poes5th0","Stadtarchiv Pößneck"
"Poet8e10","Pfarrarchiv Pötewitz"
"Pots2bb0","Brandenburgisches Landeshauptarchiv Potsdam"
"Pots5bb0","Stadtarchiv Potsdam"
"Potsdam","Bundesarchiv"
"Pouc8e10","Pfarrarchiv Pouch"
"Prof8e10","Pfarrarchiv Profen"
"Puet8e10","Pfarrarchiv Pützlingen"
"Qued5sa0","Stadtarchiv Quedlinburg"
"Rade8e10","Pfarrarchiv Radefeld"
"Rado5bw0","Stadtarchiv Radolfzell"
"Rebg8e10","Archiv der Ev.-Luth. Kirchgemeinde Reinsberg"
"Reck8e10","Pfarrarchiv Recklinghausen-Altstadt"
"Rege5ba0","Stadtarchiv Regensburg"
"Rege6k10","Bischöfliches Zentralarchiv Regensburg"
"Rehe8e10","Pfarrarchiv Rehehausen"
"Reic5sn0","Stadtarchiv Reichenbach"
"Reichsdrucksachen","Reichsdrucksachen"
"Rein8e10","Archiv der Ev.-Luth. Kirchgemeinde Reinersdorf (K.G. Naunhof)"
"Rems5nw0","Historisches Zentrum Remscheid"
"Rett8e10","Pfarrarchiv Rettgenstedt im Pfarrhaus Ostramondra"
"Reut5bw0","Stadtarchiv Reutlingen"
"Ried5bw0","Stadtarchiv Riedlingen"
"Rimp8k10","Pfarrarchiv Rimpar"
"Rodh8e10","Pfarrarchiv Rodheim v. d. Höhe"
"Rosb8e10","Pfarrarchiv Rosbach v. d. Höhe"
"Rose5ba0","Stadtarchiv Rosenheim"
"Rost5mv0","Archiv der Hansestadt Rostock"
"Rotb5ba0","Stadtarchiv Rothenburg"
"Roth5ba0","Stadtarchiv Roth"
"Rott5bw0","Stadtarchiv Rottenburg"
"Rott7k10","Diözesanarchiv Rottenburg-Stuttgart"
"Rove8e10","Pfarrarchiv Rodheim/Vetzberg"
"Rudo3th0","Thüringisches Staatsarchiv Rudolstadt"
"Rudo5th0","Stadtarchiv Rudolstadt"
"Rues8e10","Archiv der Ev.-Luth. Kirchgemeinde Rüsseina"
"Saal5sl0","Stadtarchiv Saarlouis"
"Saal5th0","Stadtarchiv Saalfeld"
"Saar3sl0","Landesarchiv Saarbrücken"
"Saar5sl0","Stadtarchiv Saarbrücken"
"Scha8e10","Pfarrarchiv Schauen"
"Sche5bw0","Stadtarchiv Schelklingen"
"Schk8e10","Pfarrarchiv Schkopau"
"Schl3sh0","Landesarchiv Schleswig-Holstein"
"Schl5sh0","Stadtarchiv Schleswig"
"Schm4th0","Kreisarchiv Schmalkalden"
"Schn5sn0","Stadtarchiv Schneeberg"
"Scho5bw0","Stadtarchiv Schorndorf"
"Scho5sa0","Stadtarchiv Schönebeck"
"Scho8e10","Archiv der Ev.-Luth. Kirchgemeinde Schönfeld"
"Schr5ba0","Stadtarchiv Schrobenhausen"
"Schw2mv0","Landeshauptarchiv Schwerin"
"Schw4bw0","Kreisarchiv Schwäbisch Hall"
"Schw5bw0","Stadtarchiv Schwetzingen"
"Schw5mv0","Stadtarchiv Schwerin"
"Schw5nw0","Museum und Archiv Haus Martfeld"
"Schw7e10","Landeskirchliches Archiv Schwerin"
"Schw8e10","Pfarrarchiv Schwelm"
"Sieg5nw0","Stadtarchiv Siegburg"
"Sigm3bw0","Staatsarchiv Sigmaringen"
"Simm5rp0","Rhein-Hunsrück-Archiv"
"Sind5bw0","Stadtarchiv Sindelfingen"
"Sing5bw0","Stadtarchiv Singen"
"Skas8e10","Archiv der Ev.-Luth. Kirchgemeinde Skassa/Strießen"
"Soem8e10","Pfarrarchiv Sömmerda, St. Bonifatius"
"Soes5nw0","Stadtarchiv und Wissenschaftliche Stadtbibliothek Soest"
"Soes8e10","Pfarrarchiv Soest, Wiese-Georg-Gemeinde"
"Sond5th0","Stadtarchiv Sondershausen"
"Sonn5th0","Stadtarchiv Sonneberg"
"Spai5bw0","Stadtarchiv Spaichingen im Kreisarchiv Tuttlingen"
"Spey3rp0","Landesarchiv Speyer"
"Spey5rp0","Stadtarchiv Speyer"
"Spey7e10","Zentralarchiv der Evangelischen Kirche der Pfalz (Protestantische Landeskirche) in Speyer"
"Spey7k10","Bistumsarchiv Speyer"
"Stad3ns0","Niedersächsisches Staatsarchiv Stade"
"Stad5ns0","Stadtarchiv Stade"
"Sten8e10","Pfarrarchiv Stendal, St. Marien"
"Stol4sn0","Kreisarchiv Stollberg (Erzgeb.)"
"Stra5ba0","Stadtarchiv Straubing"
"Stra5mv0","Stadtarchiv Stralsund"
"Stre8e10","Archiv der Ev.-Luth. Vereinigten Kirchgemeinde Streumen"
"Stum8e10","Pfarrarchiv Stumsdorf"
"Stut2bw0","Hauptstaatsarchiv Stuttgart"
"Stut5bw0","Stadtarchiv Stuttgart"
"Stut7e10","Landeskirchliches Archiv Stuttgart"
"Stwe5sl0","Stadtarchiv St. Wendel"
"Suhl5th0","Stadtarchiv Suhl"
"Sulz5ba0","Stadtarchiv Sulzbach-Rosenberg"
"Swab5ba0","Stadtarchiv Schwabach"
"Swan5ba0","Stadtarchiv Schwandorf"
"Swei5ba0","Stadtarchiv Schweinfurt"
"Tang5sa0","Stadtarchiv Tangermünde"
"Teck8e10","Pfarrarchiv Tecklenburg"
"Tete4mv0","Kulturstiftung o[Teterower Kreis]o; Kommunalarchiv"
"Tett5bw0","Stadtarchiv Tettnang"
"Torg5sn0","Stadtarchiv Torgau"
"Trau5ba0","Stadtarchiv Traunstein"
"Tref8e10","Pfarrarchiv Treffurt"
"Trie5rp0","Stadtarchiv Trier"
"Trie7k10","Bistumsarchiv Trier"
"Tros5bw0","Stadtarchiv Trossingen"
"Tueb5bw0","Stadtarchiv Tübingen"
"Tutt4bw0","Kreisarchiv Tuttlingen"
"Uebe5bw0","Stadtarchiv Überlingen"
"Uelz5ns0","Stadtarchiv Uelzen"
"Ulmx5bw0","Stadtarchiv Ulm"
"Vaih5bw0","Stadtarchiv Vaihingen"
"Vech7k10","Bischöflich Münstersches Offizialat"
"Vill5bw0","Stadtarchiv Villingen-Schwenningen"
"Vill8k10","Pfarrarchiv Villmar, St. Peter und Paul"
"Vlot8e10","Pfarrarchiv Vlotho, St. Stephani"
"Volk8e10","Pfarrarchiv Volkartshain"
"Wald5bw0","Stadtarchiv Waldshut-Tiengen"
"Wald5sn0","Stadtarchiv Waldheim"
"Wang5bw0","Stadtarchiv Wangen"
"Ware8e10","Evangelisch-Lutherische Pfarre St. Georgen zu Waren"
"Watt8e10","Pfarrarchiv Wattenscheid"
"Weid5ba0","Stadtarchiv Weiden"
"Weil5ba0","Stadtarchiv Weilheim"
"Weil5bw0","Stadtarchiv Weilheim im Kreisarchiv Esslingen"
"Weim2th0","Thüringisches Hauptstaatsarchiv Weimar"
"Weim5th0","Stadtarchiv Weimar"
"Wein5bw0","Stadtarchiv Weinheim"
"Wein8e10","Archiv der Ev.-Luth. Kirchgemeinde Weinböhla"
"Weis5ba0","Stadtarchiv Weißenburg"
"Weis5sa0","Stadtarchiv Weißenfels"
"Weis8e10","Archiv der Ev.-Luth. Kirchgemeinde Weistropp mit Schwesterkirche Unkersdorf"
"Welv8e10","Pfarrarchiv Welver"
"Wend8e10","Archiv der Ev.-Luth. Kirchgemeinde Wendischbora"
"Werl5nw0","Stadtarchiv Werl"
"Wern5sa0","Stadtarchiv o[Wernigerode]o"
"Wert3bw0","Staatsarchiv Wertheim, Archivverbund Main-Tauber"
"Wese5nw0","Stadtarchiv Wesel"
"Wgar5bw0","Stadtarchiv Weingarten"
"Wies2he0","Hessisches Hauptstaatsarchiv Wiesbaden"
"Wism5mv0","Stadtarchiv Wismar"
"Witt5sa0","Stadtarchiv Wittenberg"
"Witt8e10","Pfarrarchiv Wittenberg, St. Marien I"
"Wolf3ns0","Niedersächsisches Staatsarchiv Wolfenbüttel"
"Wolf5bw0","Stadtarchiv Wolfach"
"Worm5rp0","Stadtarchiv Worms"
"Worm8e10","Pfarrarchiv Worms II"
"Worm8e20","Pfarrarchiv Worms V"
"Wuer3ba0","Staatsarchiv Würzburg"
"Wuer5ba0","Stadtarchiv Würzburg"
"Wuer7k10","Diözesan-Archiv Würzburg"
"Wuns5ba0","Stadtarchiv Wunsiedel"
"Wupp5nw0","Stadtarchiv Wuppertal"
"Zabe8e10","Archiv der Ev.-Luth. Kirchgemeinde Zabeltitz mit TK Görzing, St. Georgenkirche"
"Zeit5sa0","Zentrales Stadt- und Kreisarchiv Zeitz"
"Zeit8e10","Pfarrarchiv Zeitz, St. Michael"
"Zete8e10","Evangelisch-Lutherisches Kirchengemeindearchiv Zetel"
"Zeul5th0","Stadtarchiv Zeulenroda"
"Zitt5sn0","Stadtarchiv Zittau"
"Zoer8e10","Pfarrarchiv Zörbig, St. Mauritius"
"Zwei8k10","Archiv der katholischen Kirchengemeinde Zweibrücken, Hl. Kreuz"
"Zwic5sn0","Stadtarchiv Zwickau"
